I[18:37:17,980] [main]RingPaxosPiggyProto: RingPiggyPaxos: {members=[172.16.66.12:50300, 172.16.66.13:50300, 172.16.66.64:50300]} qs 2 max instances: 300
W[18:37:17,988] [600-RingPiggyProto]RingPaxosPiggyProto: Connection failed to 172.16.66.64:50300, cause: finishConnect(..) failed: Connection refused: gros-64/172.16.66.64:50300
I[18:37:22,496] [600-RingPiggyProto]RingPaxosPiggyProto: New highest instance leader: iN:0, SN{0:172.16.66.12:50300}
I[18:37:22,498] [100-RingFront0]RingPaxosFront: New writesTo: /172.16.66.12
W[18:37:27,102] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50968 to 172.16.66.64:50300  decided until 50967 received 51040
W[18:37:27,103] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50969 to 172.16.66.64:50300  decided until 50968 received 51188
W[18:37:27,103] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50970 to 172.16.66.64:50300  decided until 50969 received 51206
W[18:37:27,105] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50971 to 172.16.66.64:50300  decided until 50970 received 51290
W[18:37:27,106] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50972 to 172.16.66.64:50300  decided until 50971 received 51416
W[18:37:27,106] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50973 to 172.16.66.64:50300  decided until 50972 received 51482
W[18:37:27,107] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50974 to 172.16.66.64:50300  decided until 50973 received 51525
W[18:37:27,107] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50975 to 172.16.66.64:50300  decided until 50974 received 51567
W[18:37:27,107] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50976 to 172.16.66.64:50300  decided until 50975 received 51603
W[18:37:27,108] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50977 to 172.16.66.64:50300  decided until 50976 received 51675
W[18:37:27,108] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50978 to 172.16.66.64:50300  decided until 50977 received 51728
W[18:37:27,109] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50979 to 172.16.66.64:50300  decided until 50978 received 51745
W[18:37:27,109] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50980 to 172.16.66.64:50300  decided until 50979 received 51821
W[18:37:27,110] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50981 to 172.16.66.64:50300  decided until 50980 received 51883
W[18:37:27,111] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50982 to 172.16.66.64:50300  decided until 50981 received 51970
W[18:37:27,111] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50983 to 172.16.66.64:50300  decided until 50982 received 52041
W[18:37:27,112] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50984 to 172.16.66.64:50300  decided until 50983 received 52101
W[18:37:27,113] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50985 to 172.16.66.64:50300  decided until 50984 received 52198
W[18:37:27,114] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50986 to 172.16.66.64:50300  decided until 50985 received 52350
W[18:37:27,116] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50987 to 172.16.66.64:50300  decided until 50986 received 52593
W[18:37:27,118] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50988 to 172.16.66.64:50300  decided until 50987 received 52765
W[18:37:27,120] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50989 to 172.16.66.64:50300  decided until 50988 received 52952
W[18:37:27,122] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50990 to 172.16.66.64:50300  decided until 50989 received 53099
W[18:37:27,124] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50991 to 172.16.66.64:50300  decided until 50990 received 53281
W[18:37:27,125] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50992 to 172.16.66.64:50300  decided until 50991 received 53346
W[18:37:27,126] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50993 to 172.16.66.64:50300  decided until 50992 received 53409
W[18:37:27,127] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50994 to 172.16.66.64:50300  decided until 50993 received 53518
W[18:37:27,127] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50995 to 172.16.66.64:50300  decided until 50994 received 53564
W[18:37:27,128] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50996 to 172.16.66.64:50300  decided until 50995 received 53637
W[18:37:27,128] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50997 to 172.16.66.64:50300  decided until 50996 received 53641
W[18:37:27,128] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50998 to 172.16.66.64:50300  decided until 50997 received 53701
W[18:37:27,128] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 50999 to 172.16.66.64:50300  decided until 50998 received 53719
W[18:37:27,130] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51000 to 172.16.66.64:50300  decided until 50999 received 53901
W[18:37:27,132] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51001 to 172.16.66.64:50300  decided until 51000 received 54039
W[18:37:27,132] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51002 to 172.16.66.64:50300  decided until 51001 received 54040
W[18:37:27,133] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51003 to 172.16.66.64:50300  decided until 51002 received 54171
W[18:37:27,134] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51004 to 172.16.66.64:50300  decided until 51003 received 54255
W[18:37:27,135] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51005 to 172.16.66.64:50300  decided until 51004 received 54348
W[18:37:27,136] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51006 to 172.16.66.64:50300  decided until 51005 received 54440
W[18:37:27,137] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51007 to 172.16.66.64:50300  decided until 51006 received 54576
W[18:37:27,138] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51008 to 172.16.66.64:50300  decided until 51007 received 54660
W[18:37:27,138] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51009 to 172.16.66.64:50300  decided until 51008 received 54722
W[18:37:27,140] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51010 to 172.16.66.64:50300  decided until 51009 received 54798
W[18:37:27,141] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 51011 to 172.16.66.64:50300  decided until 51010 received 54887
