I[18:37:18,492] [main]RingPaxosPiggyProto: RingPiggyPaxos: {members=[172.16.66.12:50300, 172.16.66.13:50300, 172.16.66.64:50300]} qs 2 max instances: 300
I[18:37:22,495] [600-RingPiggyProto]RingPaxosPiggyProto: New highest instance leader: iN:0, SN{0:172.16.66.12:50300}
I[18:37:22,497] [100-RingFront0]RingPaxosFront: New writesTo: /172.16.66.12
W[18:37:26,879] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 33964 to 172.16.66.12:50300  decided until 33963 received 33966
W[18:37:26,881] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 33965 to 172.16.66.12:50300  decided until 33964 received 34245
W[18:37:31,493] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449197 to 172.16.66.12:50300  decided until 449196 received 449256
W[18:37:31,495] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449198 to 172.16.66.12:50300  decided until 449197 received 449406
W[18:37:31,495] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449199 to 172.16.66.12:50300  decided until 449198 received 449410
W[18:37:31,495] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449200 to 172.16.66.12:50300  decided until 449199 received 449466
W[18:37:31,496] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449201 to 172.16.66.12:50300  decided until 449200 received 449499
W[18:37:31,496] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449202 to 172.16.66.12:50300  decided until 449201 received 449500
W[18:37:31,496] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449203 to 172.16.66.12:50300  decided until 449202 received 449501
W[18:37:31,497] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449204 to 172.16.66.12:50300  decided until 449203 received 449502
W[18:37:31,497] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449205 to 172.16.66.12:50300  decided until 449204 received 449503
W[18:37:31,498] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449206 to 172.16.66.12:50300  decided until 449205 received 449504
W[18:37:31,498] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449207 to 172.16.66.12:50300  decided until 449206 received 449505
W[18:37:31,499] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449208 to 172.16.66.12:50300  decided until 449207 received 449506
W[18:37:31,499] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449209 to 172.16.66.12:50300  decided until 449208 received 449507
W[18:37:31,500] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449210 to 172.16.66.12:50300  decided until 449209 received 449508
W[18:37:31,500] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 449211 to 172.16.66.12:50300  decided until 449210 received 449509
