I[18:45:36,746] [main]RingPaxosPiggyProto: RingPiggyPaxos: {members=[172.16.66.12:50300, 172.16.66.13:50300, 172.16.66.64:50300, 172.16.66.117:50300, 172.16.66.118:50300, 172.16.66.119:50300, 172.16.66.120:50300]} qs 4 max instances: 300
W[18:45:36,756] [600-RingPiggyProto]RingPaxosPiggyProto: Connection failed to 172.16.66.120:50300, cause: finishConnect(..) failed: Connection refused: gros-120/172.16.66.120:50300
I[18:45:39,261] [600-RingPiggyProto]RingPaxosPiggyProto: New highest instance leader: iN:0, SN{0:172.16.66.12:50300}
I[18:45:39,263] [100-RingFront0]RingPaxosFront: New writesTo: /172.16.66.12
W[18:46:03,582] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165566 to 172.16.66.120:50300  decided until 1165565 received 1165606
W[18:46:03,582] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165567 to 172.16.66.120:50300  decided until 1165566 received 1165643
W[18:46:03,583] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165568 to 172.16.66.120:50300  decided until 1165567 received 1165795
W[18:46:03,584] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165569 to 172.16.66.120:50300  decided until 1165568 received 1165796
W[18:46:03,584] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165570 to 172.16.66.120:50300  decided until 1165569 received 1165878
W[18:46:03,586] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165571 to 172.16.66.120:50300  decided until 1165570 received 1166056
W[18:46:03,587] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165572 to 172.16.66.120:50300  decided until 1165571 received 1166137
W[18:46:03,588] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165573 to 172.16.66.120:50300  decided until 1165572 received 1166155
W[18:46:03,588] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165574 to 172.16.66.120:50300  decided until 1165573 received 1166224
W[18:46:03,589] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165575 to 172.16.66.120:50300  decided until 1165574 received 1166226
W[18:46:03,589] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165576 to 172.16.66.120:50300  decided until 1165575 received 1166281
W[18:46:03,590] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165577 to 172.16.66.120:50300  decided until 1165576 received 1166300
W[18:46:03,590] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165578 to 172.16.66.120:50300  decided until 1165577 received 1166368
W[18:46:03,591] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165579 to 172.16.66.120:50300  decided until 1165578 received 1166401
W[18:46:03,591] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165580 to 172.16.66.120:50300  decided until 1165579 received 1166430
W[18:46:03,592] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165581 to 172.16.66.120:50300  decided until 1165580 received 1166431
W[18:46:03,593] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165582 to 172.16.66.120:50300  decided until 1165581 received 1166433
W[18:46:03,593] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165583 to 172.16.66.120:50300  decided until 1165582 received 1166472
W[18:46:03,594] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165584 to 172.16.66.120:50300  decided until 1165583 received 1166505
W[18:46:03,594] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165585 to 172.16.66.120:50300  decided until 1165584 received 1166564
W[18:46:03,594] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165586 to 172.16.66.120:50300  decided until 1165585 received 1166587
W[18:46:03,594] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165587 to 172.16.66.120:50300  decided until 1165586 received 1166588
W[18:46:03,595] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165588 to 172.16.66.120:50300  decided until 1165587 received 1166623
W[18:46:03,595] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165589 to 172.16.66.120:50300  decided until 1165588 received 1166642
W[18:46:03,595] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165590 to 172.16.66.120:50300  decided until 1165589 received 1166643
W[18:46:03,596] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165591 to 172.16.66.120:50300  decided until 1165590 received 1166693
W[18:46:03,596] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165592 to 172.16.66.120:50300  decided until 1165591 received 1166741
W[18:46:03,597] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165593 to 172.16.66.120:50300  decided until 1165592 received 1166743
W[18:46:03,597] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165594 to 172.16.66.120:50300  decided until 1165593 received 1166779
W[18:46:03,598] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165595 to 172.16.66.120:50300  decided until 1165594 received 1166780
W[18:46:03,598] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165596 to 172.16.66.120:50300  decided until 1165595 received 1166815
W[18:46:03,598] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165597 to 172.16.66.120:50300  decided until 1165596 received 1166816
W[18:46:03,599] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165598 to 172.16.66.120:50300  decided until 1165597 received 1166869
W[18:46:03,599] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165599 to 172.16.66.120:50300  decided until 1165598 received 1166870
W[18:46:03,600] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165600 to 172.16.66.120:50300  decided until 1165599 received 1166910
W[18:46:03,600] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165601 to 172.16.66.120:50300  decided until 1165600 received 1166911
W[18:46:03,601] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165602 to 172.16.66.120:50300  decided until 1165601 received 1166912
W[18:46:03,601] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165603 to 172.16.66.120:50300  decided until 1165602 received 1166982
W[18:46:03,602] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165604 to 172.16.66.120:50300  decided until 1165603 received 1167009
W[18:46:03,602] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1165605 to 172.16.66.120:50300  decided until 1165604 received 1167027
W[18:46:03,603] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165866
W[18:46:03,606] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165867
W[18:46:03,607] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165868
W[18:46:03,608] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165869
W[18:46:03,609] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165870
W[18:46:03,610] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165871
W[18:46:03,610] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165872
W[18:46:03,610] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165873
W[18:46:03,611] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165874
W[18:46:03,611] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165875
W[18:46:03,612] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165876
W[18:46:03,613] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165877
W[18:46:03,614] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165878
W[18:46:03,614] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165879
W[18:46:03,615] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165880
W[18:46:03,615] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165881
W[18:46:03,616] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165882
W[18:46:03,616] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165883
W[18:46:03,616] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165884
W[18:46:03,617] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165885
W[18:46:03,618] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165886
W[18:46:03,618] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165887
W[18:46:03,618] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165888
W[18:46:03,619] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165889
W[18:46:03,619] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165890
W[18:46:03,620] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165891
W[18:46:03,620] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165892
W[18:46:03,621] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165893
W[18:46:03,622] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165894
W[18:46:03,622] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165895
W[18:46:03,623] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165896
W[18:46:03,623] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165897
W[18:46:03,623] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165898
W[18:46:03,624] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165899
W[18:46:03,624] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165900
W[18:46:03,625] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165901
W[18:46:03,626] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165902
W[18:46:03,626] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165903
W[18:46:03,627] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165904
W[18:46:03,627] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 1165905
W[18:46:25,118] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740952 to 172.16.66.120:50300  decided until 2740951 received 2741023
W[18:46:25,119] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740953 to 172.16.66.120:50300  decided until 2740952 received 2741028
W[18:46:25,119] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740954 to 172.16.66.120:50300  decided until 2740953 received 2741029
W[18:46:25,119] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740955 to 172.16.66.120:50300  decided until 2740954 received 2741030
W[18:46:25,119] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740956 to 172.16.66.120:50300  decided until 2740955 received 2741036
W[18:46:25,120] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740957 to 172.16.66.120:50300  decided until 2740956 received 2741037
W[18:46:25,120] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740958 to 172.16.66.120:50300  decided until 2740957 received 2741070
W[18:46:25,121] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740959 to 172.16.66.120:50300  decided until 2740958 received 2741071
W[18:46:25,122] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740960 to 172.16.66.120:50300  decided until 2740959 received 2741072
W[18:46:25,122] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740961 to 172.16.66.120:50300  decided until 2740960 received 2741127
W[18:46:25,122] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740962 to 172.16.66.120:50300  decided until 2740961 received 2741158
W[18:46:25,123] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740963 to 172.16.66.120:50300  decided until 2740962 received 2741220
W[18:46:25,123] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740964 to 172.16.66.120:50300  decided until 2740963 received 2741251
W[18:46:25,123] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740965 to 172.16.66.120:50300  decided until 2740964 received 2741308
W[18:46:25,123] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740966 to 172.16.66.120:50300  decided until 2740965 received 2741343
W[18:46:25,124] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740967 to 172.16.66.120:50300  decided until 2740966 received 2741387
W[18:46:25,125] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740968 to 172.16.66.120:50300  decided until 2740967 received 2741393
W[18:46:25,125] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740969 to 172.16.66.120:50300  decided until 2740968 received 2741394
W[18:46:25,125] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740970 to 172.16.66.120:50300  decided until 2740969 received 2741444
W[18:46:25,126] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740971 to 172.16.66.120:50300  decided until 2740970 received 2741487
W[18:46:25,127] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740972 to 172.16.66.120:50300  decided until 2740971 received 2741488
W[18:46:25,127] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740973 to 172.16.66.120:50300  decided until 2740972 received 2741532
W[18:46:25,127] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740974 to 172.16.66.120:50300  decided until 2740973 received 2741567
W[18:46:25,127] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740975 to 172.16.66.120:50300  decided until 2740974 received 2741571
W[18:46:25,128] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2740976 to 172.16.66.120:50300  decided until 2740975 received 2741572
