I[18:45:37,273] [main]RingPaxosPiggyProto: RingPiggyPaxos: {members=[172.16.66.12:50300, 172.16.66.13:50300, 172.16.66.64:50300, 172.16.66.117:50300, 172.16.66.118:50300, 172.16.66.119:50300, 172.16.66.120:50300]} qs 4 max instances: 300
I[18:45:39,263] [600-RingPiggyProto]RingPaxosPiggyProto: New highest instance leader: iN:0, SN{0:172.16.66.12:50300}
I[18:45:39,265] [100-RingFront0]RingPaxosFront: New writesTo: /172.16.66.12
W[18:45:53,215] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 506672 to 172.16.66.12:50300  decided until 506671 received 506686
W[18:45:53,216] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 506673 to 172.16.66.12:50300  decided until 506672 received 506711
W[18:45:53,223] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 506674 to 172.16.66.12:50300  decided until 506673 received 506972
W[18:45:53,225] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 506675 to 172.16.66.12:50300  decided until 506674 received 506973
W[18:45:53,226] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 506676 to 172.16.66.12:50300  decided until 506675 received 506974
W[18:45:53,226] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 506677 to 172.16.66.12:50300  decided until 506676 received 506975
W[18:45:53,227] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 506678 to 172.16.66.12:50300  decided until 506677 received 506976
W[18:45:53,228] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 506679 to 172.16.66.12:50300  decided until 506678 received 506977
W[18:45:53,229] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 506680 to 172.16.66.12:50300  decided until 506679 received 506978
W[18:45:53,230] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 506681 to 172.16.66.12:50300  decided until 506680 received 506979
W[18:45:53,231] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 506682 to 172.16.66.12:50300  decided until 506681 received 506980
W[18:45:53,232] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 506683 to 172.16.66.12:50300  decided until 506682 received 506981
W[18:45:53,233] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 506684 to 172.16.66.12:50300  decided until 506683 received 506982
W[18:45:53,234] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 506685 to 172.16.66.12:50300  decided until 506684 received 506983
W[18:46:01,133] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005605 to 172.16.66.12:50300  decided until 1005604 received 1005662
W[18:46:01,134] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005606 to 172.16.66.12:50300  decided until 1005605 received 1005665
W[18:46:01,134] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005607 to 172.16.66.12:50300  decided until 1005606 received 1005666
W[18:46:01,135] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005608 to 172.16.66.12:50300  decided until 1005607 received 1005667
W[18:46:01,136] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005609 to 172.16.66.12:50300  decided until 1005608 received 1005668
W[18:46:01,136] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005610 to 172.16.66.12:50300  decided until 1005609 received 1005724
W[18:46:01,136] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 1005611 to 172.16.66.12:50300  decided until 1005610 received 1005750
