2022-01-11 20:09:24:142 0 sec: 0 operations; est completion in 0 second 
2022-01-11 20:09:34:101 10 sec: 6278 operations; 627.8 current ops/sec; est completion in 17 hours 41 minutes [INSERT: Count=6278, Max=6135807, Min=1856512, Avg=4992424.74, 90=5963775, 99=6135807, 99.9=6135807, 99.99=6135807] 
2022-01-11 20:09:44:102 20 sec: 20000 operations; 1372.2 current ops/sec; est completion in 11 hours 6 minutes [INSERT: Count=13722, Max=5271551, Min=3606528, Avg=4517040.04, 90=5214207, 99=5255167, 99.9=5267455, 99.99=5271551] 
2022-01-11 20:09:54:101 30 sec: 43174 operations; 2317.4 current ops/sec; est completion in 7 hours 42 minutes [INSERT: Count=23174, Max=3475455, Min=1465344, Avg=2208547.44, 90=3014655, 99=3317759, 99.9=3446783, 99.99=3452927] 
2022-01-11 20:10:04:102 40 sec: 92879 operations; 4970.5 current ops/sec; est completion in 4 hours 46 minutes [INSERT: Count=49705, Max=1514495, Min=837120, Avg=1028892.57, 90=1333247, 99=1476607, 99.9=1510399, 99.99=1514495] 
2022-01-11 20:10:14:101 50 sec: 150533 operations; 5765.4 current ops/sec; est completion in 3 hours 40 minutes [INSERT: Count=57654, Max=931327, Min=832512, Avg=874982.05, 90=909311, 99=922623, 99.9=927743, 99.99=931327] 
2022-01-11 20:10:24:101 60 sec: 207457 operations; 5692.4 current ops/sec; est completion in 3 hours 11 minutes [INSERT: Count=56963, Max=929279, Min=821760, Avg=872158.79, 90=911359, 99=923647, 99.9=928255, 99.99=929279] 
2022-01-11 20:10:34:102 70 sec: 264902 operations; 5744.5 current ops/sec; est completion in 2 hours 55 minutes [INSERT: Count=57406, Max=951295, Min=824832, Avg=873930.32, 90=913919, 99=930815, 99.9=948223, 99.99=951295] 
2022-01-11 20:10:44:101 80 sec: 321426 operations; 5652.4 current ops/sec; est completion in 2 hours 44 minutes [INSERT: Count=56524, Max=949247, Min=817152, Avg=884490.17, 90=910335, 99=936447, 99.9=947711, 99.99=948735] 
2022-01-11 20:10:54:101 90 sec: 377933 operations; 5650.7 current ops/sec; est completion in 2 hours 37 minutes [INSERT: Count=56509, Max=918015, Min=834048, Avg=878016.64, 90=889855, 99=906239, 99.9=915455, 99.99=917503] 
2022-01-11 20:11:04:102 100 sec: 434678 operations; 5674.5 current ops/sec; est completion in 2 hours 31 minutes [INSERT: Count=56751, Max=964095, Min=834560, Avg=882846.81, 90=913407, 99=942079, 99.9=958463, 99.99=964095] 
2022-01-11 20:11:14:101 110 sec: 491875 operations; 5719.7 current ops/sec; est completion in 2 hours 27 minutes [INSERT: Count=57189, Max=947199, Min=833024, Avg=878094.49, 90=892927, 99=925695, 99.9=935423, 99.99=947199] 
2022-01-11 20:11:24:101 120 sec: 548495 operations; 5662 current ops/sec; est completion in 2 hours 23 minutes [INSERT: Count=56620, Max=964607, Min=824832, Avg=880551.24, 90=901119, 99=934399, 99.9=964607, 99.99=964607] 
2022-01-11 20:11:30:385 126 sec: 584612 operations; 5747.45 current ops/sec; est completion in 2 hours 21 minutes [CLEANUP: Count=5000, Max=39, Min=0, Avg=0.03, 90=0, 99=0, 99.9=8, 99.99=35] [INSERT: Count=36117, Max=935423, Min=826880, Avg=874820.48, 90=885759, 99=893951, 99.9=918015, 99.99=920575] 
