2022-01-11 20:07:23:450 0 sec: 0 operations; est completion in 0 second 
2022-01-11 20:07:33:409 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2022-01-11 20:07:43:409 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2022-01-11 20:07:53:408 30 sec: 3580 operations; 358 current ops/sec; est completion in 3 days 21 hours [INSERT: Count=3580, Max=29491199, Min=25591808, Avg=29075147.08, 90=29442047, 99=29491199, 99.9=29491199, 99.99=29491199] 
2022-01-11 20:08:03:408 40 sec: 15228 operations; 1164.8 current ops/sec; est completion in 1 day 5 hours [INSERT: Count=11649, Max=29655039, Min=2533376, Avg=6936333.12, 90=29523967, 99=29638655, 99.9=29655039, 99.99=29655039] 
2022-01-11 20:08:13:409 50 sec: 35424 operations; 2019.6 current ops/sec; est completion in 15 hours 40 minutes [INSERT: Count=20195, Max=3891199, Min=1638400, Avg=2770089.71, 90=3426303, 99=3592191, 99.9=3831807, 99.99=3856383] 
2022-01-11 20:08:23:408 60 sec: 75000 operations; 3957.6 current ops/sec; est completion in 8 hours 52 minutes [INSERT: Count=39576, Max=1646591, Min=1115136, Avg=1349271.16, 90=1599487, 99=1627135, 99.9=1641471, 99.99=1646591] 
2022-01-11 20:08:33:409 70 sec: 110177 operations; 3517.7 current ops/sec; est completion in 7 hours 2 minutes [INSERT: Count=35177, Max=1475583, Min=1280000, Avg=1377123.2, 90=1438719, 99=1464319, 99.9=1465343, 99.99=1474559] 
2022-01-11 20:08:43:409 80 sec: 150000 operations; 3982.3 current ops/sec; est completion in 5 hours 54 minutes [INSERT: Count=39823, Max=1397759, Min=1271808, Avg=1345150.13, 90=1368063, 99=1391615, 99.9=1394687, 99.99=1397759] 
2022-01-11 20:08:53:409 90 sec: 190000 operations; 4000 current ops/sec; est completion in 5 hours 14 minutes [INSERT: Count=40000, Max=1432575, Min=1061888, Avg=1220697.34, 90=1332223, 99=1419263, 99.9=1432575, 99.99=1432575] 
2022-01-11 20:09:03:408 100 sec: 220000 operations; 3000 current ops/sec; est completion in 5 hours 1 minute [INSERT: Count=30000, Max=2026495, Min=1094656, Avg=1700331.59, 90=1914879, 99=1964031, 99.9=1986559, 99.99=1996799] 
2022-01-11 20:09:13:408 110 sec: 247214 operations; 2721.4 current ops/sec; est completion in 4 hours 54 minutes [INSERT: Count=27214, Max=1772543, Min=1617920, Avg=1711087.11, 90=1730559, 99=1752063, 99.9=1768447, 99.99=1772543] 
2022-01-11 20:09:23:408 120 sec: 280000 operations; 3278.6 current ops/sec; est completion in 4 hours 43 minutes [INSERT: Count=32786, Max=1734655, Min=1490944, Avg=1637251.29, 90=1703935, 99=1722367, 99.9=1733631, 99.99=1733631] 
2022-01-11 20:09:30:054 126 sec: 305000 operations; 3761.66 current ops/sec; est completion in 4 hours 34 minutes [CLEANUP: Count=5000, Max=31, Min=0, Avg=0.04, 90=0, 99=0, 99.9=17, 99.99=25] [INSERT: Count=25000, Max=1530879, Min=1166336, Avg=1347258.98, 90=1473535, 99=1512447, 99.9=1525759, 99.99=1529855] 
