2022-01-11 20:07:23:467 0 sec: 0 operations; est completion in 0 second 
2022-01-11 20:07:33:428 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2022-01-11 20:07:43:427 20 sec: 247 operations; 24.7 current ops/sec; est completion in 37 days 11 hours [INSERT: Count=247, Max=18317311, Min=9789440, Avg=15488750.38, 90=17956863, 99=18284543, 99.9=18317311, 99.99=18317311] 
2022-01-11 20:07:53:427 30 sec: 5000 operations; 475.3 current ops/sec; est completion in 2 days 18 hours [INSERT: Count=4753, Max=28524543, Min=22036480, Avg=26935980.25, 90=28327935, 99=28508159, 99.9=28524543, 99.99=28524543] 
2022-01-11 20:08:03:427 40 sec: 19329 operations; 1433.04 current ops/sec; est completion in 22 hours 58 minutes [INSERT: Count=14329, Max=20430847, Min=2361344, Avg=4254606.09, 90=6655999, 99=14483455, 99.9=18464767, 99.99=18989055] 
2022-01-11 20:08:13:427 50 sec: 40000 operations; 2066.89 current ops/sec; est completion in 13 hours 52 minutes [INSERT: Count=20671, Max=4022271, Min=1639424, Avg=2587053.99, 90=3737599, 99=3962879, 99.9=4020223, 99.99=4022271] 
2022-01-11 20:08:23:427 60 sec: 75543 operations; 3554.66 current ops/sec; est completion in 8 hours 48 minutes [INSERT: Count=35543, Max=1591295, Min=1097728, Avg=1316096.45, 90=1477631, 99=1520639, 99.9=1576959, 99.99=1591295] 
2022-01-11 20:08:33:427 70 sec: 112873 operations; 3733 current ops/sec; est completion in 6 hours 52 minutes [INSERT: Count=37549, Max=1501183, Min=1277952, Avg=1375311.86, 90=1437695, 99=1479679, 99.9=1498111, 99.99=1500159] 
2022-01-11 20:08:43:427 80 sec: 150247 operations; 3737.03 current ops/sec; est completion in 5 hours 53 minutes [INSERT: Count=37155, Max=1407999, Min=1287168, Avg=1344339.46, 90=1370111, 99=1393663, 99.9=1401855, 99.99=1407999] 
2022-01-11 20:08:53:427 90 sec: 190724 operations; 4047.7 current ops/sec; est completion in 5 hours 13 minutes [INSERT: Count=40477, Max=1442815, Min=1070080, Avg=1223472.84, 90=1328127, 99=1433599, 99.9=1441791, 99.99=1442815] 
2022-01-11 20:09:03:427 100 sec: 220277 operations; 2955.3 current ops/sec; est completion in 5 hours 1 minute [INSERT: Count=29553, Max=2027519, Min=1094656, Avg=1676476.03, 90=1957887, 99=2000895, 99.9=2023423, 99.99=2027519] 
2022-01-11 20:09:13:427 110 sec: 250247 operations; 2997 current ops/sec; est completion in 4 hours 51 minutes [INSERT: Count=29970, Max=1780735, Min=1616896, Avg=1709983, 90=1738751, 99=1761279, 99.9=1772543, 99.99=1780735] 
2022-01-11 20:09:23:427 120 sec: 280277 operations; 3003 current ops/sec; est completion in 4 hours 43 minutes [INSERT: Count=30030, Max=1741823, Min=1489920, Avg=1639646.7, 90=1704959, 99=1728511, 99.9=1738751, 99.99=1741823] 
2022-01-11 20:09:30:012 126 sec: 305277 operations; 3797.08 current ops/sec; est completion in 4 hours 34 minutes [CLEANUP: Count=5000, Max=20, Min=0, Avg=0.03, 90=0, 99=0, 99.9=11, 99.99=17] [INSERT: Count=25000, Max=1539071, Min=1165312, Avg=1366518.62, 90=1492991, 99=1525759, 99.9=1537023, 99.99=1539071] 
