2022-01-11 14:07:09:396 0 sec: 0 operations; est completion in 0 second 
2022-01-11 14:07:19:358 10 sec: 4151 operations; 415.1 current ops/sec; est completion in 1 day 2 hours [INSERT: Count=4151, Max=9641983, Min=1473536, Avg=5121795.89, 90=8282111, 99=9527295, 99.9=9633791, 99.99=9641983] 
2022-01-11 14:07:29:358 20 sec: 8326 operations; 417.5 current ops/sec; est completion in 1 day 2 hours [INSERT: Count=4182, Max=16244735, Min=9650176, Avg=13513469.92, 90=14680063, 99=15777791, 99.9=16244735, 99.99=16244735] 
2022-01-11 14:07:39:358 30 sec: 15000 operations; 667.4 current ops/sec; est completion in 22 hours 12 minutes [INSERT: Count=6667, Max=12697599, Min=5312512, Avg=7251525.96, 90=11370495, 99=12517375, 99.9=12697599, 99.99=12697599] 
2022-01-11 14:07:49:358 40 sec: 30037 operations; 1503.7 current ops/sec; est completion in 14 hours 47 minutes [INSERT: Count=15042, Max=5558271, Min=2461696, Avg=4150343.48, 90=5525503, 99=5541887, 99.9=5554175, 99.99=5558271] 
2022-01-11 14:07:59:358 50 sec: 65000 operations; 3496.3 current ops/sec; est completion in 8 hours 32 minutes [INSERT: Count=34958, Max=2486271, Min=1038336, Avg=1573012.87, 90=2353151, 99=2478079, 99.9=2486271, 99.99=2486271] 
2022-01-11 14:08:09:358 60 sec: 108942 operations; 4394.2 current ops/sec; est completion in 6 hours 6 minutes [INSERT: Count=43942, Max=1346559, Min=1064960, Avg=1197194.49, 90=1281023, 99=1344511, 99.9=1345535, 99.99=1346559] 
2022-01-11 14:08:19:358 70 sec: 145660 operations; 3671.8 current ops/sec; est completion in 5 hours 19 minutes [INSERT: Count=36718, Max=1486847, Min=1163264, Avg=1290403.12, 90=1349631, 99=1409023, 99.9=1476607, 99.99=1486847] 
2022-01-11 14:08:29:358 80 sec: 185000 operations; 3934 current ops/sec; est completion in 4 hours 46 minutes [INSERT: Count=39340, Max=1540095, Min=1146880, Avg=1292840.24, 90=1349631, 99=1457151, 99.9=1486847, 99.99=1540095] 
2022-01-11 14:08:39:358 90 sec: 227213 operations; 4221.3 current ops/sec; est completion in 4 hours 22 minutes [INSERT: Count=42213, Max=1467391, Min=1021440, Avg=1202265.71, 90=1319935, 99=1437695, 99.9=1465343, 99.99=1467391] 
2022-01-11 14:08:49:359 100 sec: 269874 operations; 4266.1 current ops/sec; est completion in 4 hours 5 minutes [INSERT: Count=42661, Max=1421311, Min=1071104, Avg=1214138.74, 90=1361919, 99=1414143, 99.9=1421311, 99.99=1421311] 
2022-01-11 14:08:59:358 110 sec: 301603 operations; 3172.9 current ops/sec; est completion in 4 hours 1 minute [INSERT: Count=31729, Max=1854463, Min=1122304, Avg=1447539.51, 90=1613823, 99=1805311, 99.9=1848319, 99.99=1854463] 
2022-01-11 14:09:09:358 120 sec: 331511 operations; 2990.8 current ops/sec; est completion in 3 hours 59 minutes [INSERT: Count=29908, Max=1975295, Min=1491968, Avg=1658980.04, 90=1829887, 99=1967103, 99.9=1967103, 99.99=1975295] 
2022-01-11 14:09:19:358 130 sec: 366901 operations; 3539 current ops/sec; est completion in 3 hours 54 minutes [INSERT: Count=35408, Max=1953791, Min=1096704, Avg=1424423.3, 90=1645567, 99=1733631, 99.9=1937407, 99.99=1953791] 
2022-01-11 14:09:29:358 140 sec: 401919 operations; 3501.8 current ops/sec; est completion in 3 hours 49 minutes [INSERT: Count=35000, Max=1914879, Min=1084416, Avg=1454968.57, 90=1615871, 99=1699839, 99.9=1914879, 99.99=1914879] 
2022-01-11 14:09:39:358 150 sec: 440271 operations; 3835.2 current ops/sec; est completion in 3 hours 44 minutes [INSERT: Count=38352, Max=1478655, Min=1253376, Avg=1334518.71, 90=1413119, 99=1466367, 99.9=1477631, 99.99=1478655] 
2022-01-11 14:09:41:051 151 sec: 446438 operations; 3642.65 current ops/sec; est completion in 3 hours 44 minutes [CLEANUP: Count=5000, Max=96, Min=0, Avg=0.1, 90=0, 99=1, 99.9=36, 99.99=94] [INSERT: Count=6167, Max=1336319, Min=1241088, Avg=1279737.23, 90=1305599, 99=1335295, 99.9=1336319, 99.99=1336319] 
