2022-01-11 14:13:30:392 0 sec: 0 operations; est completion in 0 second 
2022-01-11 14:13:40:356 10 sec: 320 operations; 32 current ops/sec; est completion in 14 days 11 hours [INSERT: Count=321, Max=9723903, Min=3430400, Avg=6824350.7, 90=9347071, 99=9699327, 99.9=9723903, 99.99=9723903] 
2022-01-11 14:13:50:356 20 sec: 1334 operations; 101.4 current ops/sec; est completion in 6 days 22 hours [INSERT: Count=1013, Max=19693567, Min=9715712, Avg=15514176.19, 90=19136511, 99=19660799, 99.9=19693567, 99.99=19693567] 
2022-01-11 14:14:00:356 30 sec: 4646 operations; 331.2 current ops/sec; est completion in 2 days 23 hours [INSERT: Count=3312, Max=21938175, Min=3844096, Avg=11345617.93, 90=21331967, 99=21889023, 99.9=21921791, 99.99=21938175] 
2022-01-11 14:14:10:357 40 sec: 16000 operations; 1135.4 current ops/sec; est completion in 1 day 3 hours [INSERT: Count=11354, Max=3880959, Min=1447936, Avg=2018910.34, 90=3094527, 99=3760127, 99.9=3860479, 99.99=3880959] 
2022-01-11 14:14:20:357 50 sec: 40016 operations; 2401.6 current ops/sec; est completion in 13 hours 52 minutes [INSERT: Count=24022, Max=1473535, Min=540672, Avg=851135.28, 90=1218559, 99=1434623, 99.9=1471487, 99.99=1473535] 
2022-01-11 14:14:30:357 60 sec: 63050 operations; 2303.4 current ops/sec; est completion in 10 hours 33 minutes [INSERT: Count=23028, Max=1787903, Min=524288, Avg=846058.37, 90=1282047, 99=1766399, 99.9=1786879, 99.99=1787903] 
2022-01-11 14:14:40:357 70 sec: 87928 operations; 2487.8 current ops/sec; est completion in 8 hours 49 minutes [INSERT: Count=24878, Max=1571839, Min=519936, Avg=821294.76, 90=980991, 99=1540095, 99.9=1571839, 99.99=1571839] 
2022-01-11 14:14:50:356 80 sec: 114234 operations; 2630.6 current ops/sec; est completion in 7 hours 45 minutes [INSERT: Count=26306, Max=1015295, Min=546816, Avg=760285.53, 90=794111, 99=977919, 99.9=1004031, 99.99=1015295] 
2022-01-11 14:15:00:356 90 sec: 144651 operations; 3041.7 current ops/sec; est completion in 6 hours 53 minutes [INSERT: Count=30417, Max=798719, Min=558592, Avg=659529.05, 90=719871, 99=750591, 99.9=796159, 99.99=798719] 
2022-01-11 14:15:10:357 100 sec: 176771 operations; 3212 current ops/sec; est completion in 6 hours 15 minutes [INSERT: Count=32120, Max=781823, Min=518400, Avg=617769.51, 90=671231, 99=722943, 99.9=755711, 99.99=759295] 
2022-01-11 14:15:16:120 105 sec: 194389 operations; 3057.09 current ops/sec; est completion in 6 hours [CLEANUP: Count=2000, Max=49, Min=0, Avg=0.19, 90=0, 99=1, 99.9=44, 99.99=49] [INSERT: Count=17618, Max=780287, Min=539136, Avg=670791.61, 90=712703, 99=772095, 99.9=780287, 99.99=780287] 
