I[12:57:14,584] [main]ChainPaxosMixedProto: ChainPaxos: {members=[172.16.66.11:50300, 172.16.66.24:50300, 172.16.66.25:50300, 172.16.66.27:50300, 172.16.66.35:50300]} qs 3
W[12:57:14,765] [200-ChainProtoMixed]ChainPaxosMixedProto: Connection failed to 172.16.66.35:50300, cause: finishConnect(..) failed: Connection refused: gros-35/172.16.66.35:50300
I[12:57:18,238] [200-ChainProtoMixed]ChainPaxosMixedProto: New highest instance leader: iN:0, SN{0:172.16.66.11:50300}
I[12:57:18,239] [100-ChainFrontMixed0]ChainPaxosMixedFront: New writesTo: /172.16.66.11
W[12:58:38,631] [100-ChainFrontMixed0]ChainPaxosMixedFront: Sending batch by timeout, size 6
W[12:58:38,871] [100-ChainFrontMixed0]ChainPaxosMixedFront: Sending batch by timeout, size 4
W[12:58:40,072] [100-ChainFrontMixed0]ChainPaxosMixedFront: Sending batch by timeout, size 6
W[12:58:40,632] [100-ChainFrontMixed0]ChainPaxosMixedFront: Sending batch by timeout, size 4
W[12:58:41,521] [100-ChainFrontMixed0]ChainPaxosMixedFront: Sending batch by timeout, size 6
W[12:58:42,322] [100-ChainFrontMixed0]ChainPaxosMixedFront: Sending batch by timeout, size 4
W[12:58:42,802] [100-ChainFrontMixed0]ChainPaxosMixedFront: Sending batch by timeout, size 6
W[12:58:43,923] [100-ChainFrontMixed0]ChainPaxosMixedFront: Sending batch by timeout, size 4
W[12:58:44,083] [100-ChainFrontMixed0]ChainPaxosMixedFront: Sending batch by timeout, size 6
I[12:58:51,438] [Thread-1]HashMapApp: Writes: 2190470, reads: 0
