I[21:32:49,895] [main]RingPaxosPiggyProto: RingPiggyPaxos: {members=[172.16.66.2:50300, 172.16.66.18:50300, 172.16.66.19:50300]} qs 2 max instances: 15
W[21:32:49,903] [600-RingPiggyProto]RingPaxosPiggyProto: Connection failed to 172.16.66.19:50300, cause: finishConnect(..) failed: Connection refused: gros-19/172.16.66.19:50300
I[21:32:54,387] [600-RingPiggyProto]RingPaxosPiggyProto: New highest instance leader: iN:0, SN{0:172.16.66.2:50300}
I[21:32:54,389] [100-RingFront0]RingPaxosFront: New writesTo: /172.16.66.2
W[21:32:58,554] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21300 to 172.16.66.19:50300  decided until 21299 received 21303
W[21:32:58,555] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21301 to 172.16.66.19:50300  decided until 21300 received 21309
W[21:32:58,555] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21302 to 172.16.66.19:50300  decided until 21301 received 21318
W[21:32:58,555] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 21315
W[21:32:58,571] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 21316
W[21:32:58,572] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 21317
W[21:32:58,574] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21433 to 172.16.66.19:50300  decided until 21432 received 21435
W[21:32:58,575] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21434 to 172.16.66.19:50300  decided until 21433 received 21436
W[21:32:58,575] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 21448
W[21:32:58,576] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 21449
W[21:32:58,582] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21605 to 172.16.66.19:50300  decided until 21604 received 21606
W[21:32:58,582] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 21620
W[21:32:58,585] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21681 to 172.16.66.19:50300  decided until 21680 received 21683
W[21:32:58,586] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21682 to 172.16.66.19:50300  decided until 21681 received 21710
W[21:32:58,586] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21684 to 172.16.66.19:50300  decided until 21683 received 21736
W[21:32:58,587] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21685 to 172.16.66.19:50300  decided until 21684 received 21749
W[21:32:58,587] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21686 to 172.16.66.19:50300  decided until 21685 received 21751
W[21:32:58,588] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21687 to 172.16.66.19:50300  decided until 21686 received 21777
W[21:32:58,588] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21688 to 172.16.66.19:50300  decided until 21687 received 21779
W[21:32:58,589] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21689 to 172.16.66.19:50300  decided until 21688 received 21799
W[21:32:58,589] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21690 to 172.16.66.19:50300  decided until 21689 received 21812
W[21:32:58,590] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21691 to 172.16.66.19:50300  decided until 21690 received 21813
W[21:32:58,590] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21692 to 172.16.66.19:50300  decided until 21691 received 21832
W[21:32:58,591] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21693 to 172.16.66.19:50300  decided until 21692 received 21847
W[21:32:58,591] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 21694 to 172.16.66.19:50300  decided until 21693 received 21848
